id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011400393	001	02	F	29	CD	F	AU	BR	5	          
D011400394	001	02	M	32	CD	F	MO	BR	3	          
D011400394	002	02	M	37	PS	F	MO	BR	3	          
D011400395	001	01	M	36	CD	F	MO	BR	3	          
D011400396	001	01	F	70	PD	F	AU	BR	2	          
D011400397	001	01	M	32	CD	F	AU	BR	5	          
D011400397	002	01	M	26	PS	F	AU	BR	5	          
D011400398	001	01	M	39	CD	F	MO	BR	3	          
D011400399	001	01	M	22	CD	F	MO	BR	5	          
D011400400	001	01	M	SI	CD	F	MO	BR	8	          
D011400400	002	01	M	21	PS	F	MO	BR	3	          
D011400401	001	01	M	08	PD	F	AU	BR	3	          
D011400402	001	01	F	72	PD	F	OU	BR	3	          
D011400403	001	01	M	34	CD	F	AU	BR	7	          
D011400403	002	01	F	35	PS	F	AU	BR	7	          
D011400404	001	01	M	31	CD	F	MO	BR	7	          
D011400405	001	01	F	38	PD	F	AU	BR	3	          
D011400406	001	01	F	56	PD	F	AU	BR	5	          
D011400407	001	01	M	33	CD	F	MO	BR	5	          
D011400408	001	01	M	20	PD	F	MO	BR	3	          
D011400409	001	01	M	SI	CD	F	MO	BR	8	          
D011400410	001	01	M	SI	PD	F	AU	BR	8	          
D011400411	001	01	F	23	PS	F	MC	BR	5	          
D011400412	001	01	M	62	PS	F	MC	BR	8	          
D011400412	002	01	M	19	PS	F	MC	BR	8	          
D011400412	003	01	F	16	PS	F	MC	BR	8	          
D011400412	004	01	F	23	PS	F	MC	BR	5	          
D011400412	005	01	M	47	PS	F	MC	BR	7	          
D011400413	001	01	M	63	PD	F	AU	BR	7	          
D011400414	001	01	M	41	PS	F	AU	BR	8	          
D011400415	001	01	M	34	CD	F	AU	BR	6	          
D011400416	001	01	F	34	CD	F	CA	BR	3	          
D011400417	001	01	M	28	CD	F	MO	BR	5	          
D011400418	001	01	M	42	PD	F	AU	BR	3	          
D011400419	001	01	M	42	CD	F	MO	BR	3	          
D011400420	001	01	F	60	CD	F	AU	BR	7	          
D011400421	001	01	M	61	CD	F	AU	BR	7	          
D011400422	001	01	M	35	CD	F	MO	BR	3	          
D011400423	001	01	M	23	SI	F	OU	BR	5	          
D011400424	001	01	M	15	PD	F	AU	BR	3	          
D011400425	001	01	M	39	CD	F	AU	BR	8	          
D011400426	001	02	M	34	CD	F	MO	BR	5	          
D011400427	001	01	F	47	CD	F	CM	BR	7	          
D011400427	002	02	M	34	CD	F	CA	BR	5	          
D011400427	003	02	F	47	PS	F	CA	BR	7	          
D011400429	001	02	M	30	CD	F	MO	BR	3	          
D011400430	001	02	M	31	CD	F	MO	BR	2	          
D011400431	001	02	M	26	CD	F	MO	BR	5	          
D011400432	001	01	M	60	PD	F	OU	BR	3	          
D011400433	001	01	M	29	CD	F	MO	BR	7	          
D011400434	001	02	M	33	CD	F	MO	BR	7	          
